,Job Title,Low,Average,High
140,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)","80,229","124,232","192,370"
141,Senior Data Scientist Oncology,"103,983","145,970","204,910"
142,Data Modeler - Data Solutions Engineer,45.28,63.12,87.97
143,Data Scientist - Sales,"80,229","124,232","192,370"
144,Principal Machine Learning Scientist,"106,524","152,368","217,940"
145,Senior Scientist - Toxicologist - Product Integrity (Stewardship),"79,493","115,578","168,044"
146,Data Scientist Manager,"80,229","124,232","192,370"
147,Data Analyst Senior,"49,617","77,328","120,517"
148,Senior Scientist - Biostatistician,"84,680","127,259","191,248"
149,Data Science Engineer - Mobile,"80,229","124,232","192,370"
150,IT Associate Data Analyst,"51,454","81,209","128,171"
151,"Technology-Minded, Data Professional Opportunities","44,206","79,109","141,571"
152,Senior Data Scientist - Algorithms,"103,983","145,970","204,910"
153,Business Data Analyst,"49,617","77,328","120,517"
154,Lead Data Engineer (Python),"82,501","127,335","196,532"
155,RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,"65,890","108,903","179,996"
156,Director Data Science,"104,843","165,925","262,593"
157,"Scientist, Immuno-Oncology","59,157","92,356","144,185"
158,Data Scientist - Alpha Insights,"80,229","124,232","192,370"
159,Sr. Data Engineer (ETL Developer),"65,133","87,680","118,034"
160,"Data Analyst, Performance Partnership","49,617","77,328","120,517"
161,Senior Data Scientist 4 Artificial Intelligence,"103,983","145,970","204,910"
162,"Principal, Data Science - Advanced Analytics","80,229","124,232","192,370"
163,Sr Data Engineer (Sr BI Developer),"69,390","100,953","146,874"
164,Staff Scientist- Upstream PD,"52,106","89,510","153,764"
165,"Data Analyst 1, full-time contract worker for up to 12 months","49,617","77,328","120,517"
166,Senior Research Analytical Scientist-Non-Targeted Analysis,"59,053","102,441","177,708"
167,Scientist Manufacturing Pharma - Kentucky BioProcessing,"59,157","92,356","144,185"
168,"Marketing Data Analyst, May 2020 Undergrad","49,617","77,328","120,517"
169,"Senior Data Scientist – Visualization, Novartis AI Innovation Lab","103,983","145,970","204,910"
170,Quality Control Scientist III- Analytical Development,"79,493","115,578","168,044"
171,Data Analyst Chemist - Quality System Contractor,"49,617","77,328","120,517"
172,Associate Research Scientist I (Protein Expression and Production),"54,510","101,488","188,951"
173,Software Engineer Staff Scientist: Human Language Technologies,"52,106","89,510","153,764"
174,Machine Learning Engineer (NLP),"106,094","164,660","255,555"
175,"Manager, Safety Scientist, Medical Safety & Risk Management","62,431","107,679","185,723"
176,"Senior Health Data Analyst, Star Ratings","67,824","97,394","139,856"
177,Foundational Community Supports Data Analyst,"49,617","77,328","120,517"
178,Research Scientist – Security and Privacy,"54,510","101,488","188,951"
179,"Scientist – Cancer Discovery, Molecular Assay","59,157","92,356","144,185"
180,Data Engineer - ETL,"82,501","127,335","196,532"
181,Senior Quantitative Analyst,"88,745","150,676","255,828"
182,Data Modeler (Analytical Systems),45.28,63.12,87.97
183,Research Scientist or Senior Research Scientist - Computer Vision,"54,510","101,488","188,951"
184,"Research Scientist, Machine Learning Department","54,510","101,488","188,951"
185,Senior Formulations Scientist II,"79,493","115,578","168,044"
186,Jr. Data Scientist,"51,970","75,902","110,854"
187,Scientist - CVRM Metabolism - in vivo pharmacology,"59,157","92,356","144,185"
188,"Director, Precision Medicine Clinical Biomarker Scientist","57,465","94,482","155,343"
189,Sr. Data Engineer | Big Data SaaS Pipeline,"82,501","127,335","196,532"
190,"Senior Engineer, Data Management Engineering","91,189","139,029","211,967"
191,Data Engineering Analyst,"49,617","77,328","120,517"
192,"Clinical Scientist, Clinical Development","51,513","87,667","149,196"
193,Data Analyst 2 (Missionary Department),"67,824","97,394","139,856"
194,Data Scientist (Warehouse Automation),"80,229","124,232","192,370"
195,Supply Chain Data Analyst,"47,180","73,556","114,675"
